word,definition,length
ustung,"(Subcomb.) ‘when, if’.",6
ita,"(Subs.) that (near-by), ing-case.",3
itaq,(N.) thigh; the place where legs join trunk.,4
itcura,"(N.) appearance.
deqitcura.
(V.) pa:itcura, pakiitcuran, itcuran ‘recognize
someone’, initcuran, pa:nitcuran, ayitcuran.
(D.) makiitcura; (matcura ‘ugly’)?.",6
itu,"(N.) son [generally a term of address used by an
adult to a boy, not necessarily his own son].",3
ituq,(N.) catfish or carp.,4
laba,"(V.) wash clothes, do laundry.
maglaba, makapaglabada, pa:labada.",4
labasa,(N.) razor.,6
labak,"(N.) lake, swamp, marsh.",5
laban,"(V.) oppose, compete, fight against.
laban-asbuk ‘argue’; lalabanan, le:banan,
makilaban, pakipaglaban, pa:labanan, a:kalaban,
pilalaban, ke:labanan.
(N.) kalaban ‘opponent’.
milalaban, akalaban, pakalaban ‘thing go oppose
with’, pa:laban ‘the fight promoter’.",5
labanus,(N.) radish.,7
labang,(N.) lalaba’ngan ‘carabao shed’.,6
labas,"(V.) pass by, pass through (in the process of
leaving, going out).
lalabas, linabas, labas, makilabas, milabas.",5
labatiba,"(N.) enema.
(V.) labatiban ‘give someone an…’.",8
labiq,"(N.) lip(s).
(V.) lalabian ‘stick lip out at someone’.
(D.) malabiq ‘having big lips’; kalabiq.",5
labiq,"(N.) excess, what is left-over, survivor.
labing-metung ‘elevent’; labing-aduaq ‘twelve’;
labing-atlu ‘thirteen’; [etc.].
(V.) labinan ‘survive something’.
114",5
labit,"(V.) lalabit ‘blabber, chatter without stopping’.
maglabit.
(D.) malabit ‘talkative’.",5
lablab,"(D.) malablab ‘get big, swell up (of flames, of the
surface of a fishpond)’.
(V.) pa:lablab, pa:lablaban.",6
labsaq,(D.) malabsaq ‘cooked with too much water’.,6
labwad,"(N.) ground, earth.",6
labuk,(N.) topsoil in a rice paddy.,5
labug,(D.) malabug ‘murky (water); blurred (vision)’.,5
labul,"(V.) blow air into something.
labulan, lalabulan, le:bulan.",5
labung,"(N.) young leaf, shoot (bamboo).
(D.) malabung ‘leafy (healthy)’.",6
labuad,"(N.) earth.
tibuan-labuad ‘native land’; mabilug a labwad ‘the
whole earth’; taung labuad ‘a native’.",6
lakad,"(V.) walk.
lalakad; pa:lakaran ‘send on an errand’.
(N.) gait, pace; course.
lakad ning panaun, pa:maglakad.",5
lakal,"(N.) a woven rattan ring for supporting
round-bottomed pots on flat surfaces.",5
lakandanup,(D.) having an appetite; see danup.,10
lakatan,(N.) glutinous rice; white corn; a kind of banana.,7
lakbang,"(N./V.) pace, stride, step.
lalakbang, linakbang.",7
laklak,"(V.) devour, eat like a pig.
laklakan, lalaklakan, liklak.",6
lako,"(V.) remove, delete, detach, eject, send away.
ilako ‘remove something’; le:ko, lakwan ‘leave
someone’; likwan, milako, milako a male-tau
‘fainted’; pakilako, pa:lakwan.
(N.) pa:kalako ‘instrument to remove’.",4
lakto,"(V.) maglakto ‘skip, omit something’.
lakton.",5
lakwatsa,"(N.) one who wastes time.
(V.) maglakwatsa.",8
ladlad,"(V.) spread out, display.
iladlad ‘spread something out’; laladlad.",6
layit,"(N.) scythe, a curbed bolo used in cutting palay.
kalait ‘hook’.
(V.) laitan ‘cut something with lait’.
a:lait; kalaitan ‘catch something with a hook’;
ke:lait, pangalaitan/pangkalaitan.",5
lagaq,"(V.) boil.
ilagaq, linagaq.",5
lagad,"(D.) malagad ‘seldom, rarely’.",5
laganas,"(D.) all, everything, constant, entire.
(V.) laganasan.",7
lagariq,"(N.) carpenter’s saw.
(V.) maglaragiq ‘saw’.
lagari(an) ‘saw (something specific)’, le:gariq.
(D.) malagariq, melagariq.",7
lagayan,"(N.) one who easily sees (is in communication
with?) spirits.
[This communication/apparition is said to take
place most often on rainy Friday afternoons]; see
lage, maglalage.",7
lage,"(V.) appear, come out, bring out or put on (a
performance).
lage, lalage, ipalage ‘relax’; pa:lage ‘opinion’;
milage ‘appeared, presented, served’.
(N.) maglalage ‘spirit(s), apparition; see lagayan.
pa:maglage ‘appearance’.",4
lagitik,"(N.) a creaking noise, sound.
(V.) maglagitik, lalagitik.",7
laglag,"(V./D.) loose, falling off, parting company.
lalaglag, ipalaglag, malaglag.",6
lagnat,"(N.) fever.
(D.) malagnat, mangalagnat.
(V.) ke:lagnat, lagnat, lalagnat, linagnat.",6
lagpas,"(V.) lagpasan ‘pass over’.
lalagpasan, ligpasan.",6
laguq,"(N.) beauty.
(D.) malaguq, kalaguq, melaguq.
(V.) lalaguq, la:guq.",5
lagwaq,"(D.) malagwaq ‘fast, swift, quick’.
(V.) lalagwaq ‘do something fast’.
ma:malagwa’q; pa:lagwanan; pa:malagwanan
‘expedite something’; malagwat-salitaq ‘in short,
in a few words, to made a long story short’.",6
lagyuq,"(N.) name.
kalagyuq ‘one with the same name as another’.
(V.) pa:lagyuq, a:palagyuq, pa:lagwan
(?palagyuwan), pa:malagwan, pa:malagyuq.",6
lahi,"(N.) species, race, kind.
kalahi.",4
lala,"(V.) maglala ‘weave’.
lalan ‘weave into something’; lalandase ‘woven
mats’.",4
lalaki,"(N.) male, man, (pl.) la:laki.
(V.) magpakalalaki ‘act like a man’.
117",6
lalam,"(N.) the underneath-area; depth; (speech) old,
fancy, obscure.
(D.) malalam ‘deep, below’
malalam, pekamalalam ‘deepest’; mipalalam ‘been
put under’.",5
lalang,"(V.) create, contrive.
maglalang.",6
lalbe,See -albe.,5
lalbug,"See albug, kalbug.",6
lalong,See lawe.,6
lalput,"(V.) pass by; spill over.
mangalput.",6
lalu,"(St./D./N.) excess.
pangalalu ‘envy, jealousy’; mangalalu ‘be envious;
milalalu; mapangalalu; lalung marok ‘worse’;
lalung marayuq ‘farther’.",4
laman,"(N.) contents; fleshy.
kalamnan ‘contents, table of’.
(D.) malaman.",5
lamaran,(V.) maglamaran ‘stuff oneself greedily’.,7
lamat,"(N.) crack (in a glass, pottery).
(D.) makilamat.",5
lambat,(N.) a kind of net.,6
lambat,(D.) malambat ‘a long time (ago)’.,6
lambing,"(N.) affection.
(D.) malambing, melambing, malambing a musika
‘flowing music’.
(V.) maglambing.",7
lambis,"(N./V.) caress.
(D.) malambis.",6
lambut,"(D.) malambut ‘soft’.
(V.) pa:lambut, mangalambut ‘feel weak, limp’.",6
lame,"(V.) offer condolences, attend a wake.
maglame, makipaglame.",4
lamesa,"(N.) table.
lamisita.",6
lampara,"(N.) kerosene lantern, lamp.",7
lampin,(N.) diaper(s).,6
lanam,(D.) malanam ‘smell or quality of rotting fish’.,5
lanat,"(D.) a quality of fruits.
[opposite of malambut, mibawiq].",5
lande,"(N.) slat, bamboo slat.",5
landiq,"(V./St.) be in heat.
maglandiq, makapaglandiq, makilandiq,
paglandian, pakilandian, ke:landian, a:landiq.
(D.) malandiq, melandiq, pekamalandiq.
(N.) kalandian ‘(promiscuity?), the fact of being in
heat’, pipaglandian.",6
lansonis,(N.) a kind of fruit.,8
landuy,"(V.) makilanduy ‘play hide-n-seek’.
milanduy.",6
lantik,"(V.) bend, arch body.
pa:lantik.
(D.) malantik.",6
lantung,"(D.) malantung ‘horny, sexually eager’.",7
langgoci,(N.) burlap bag.,8
langiq,"(V.) get dry, dry something.
lalangiq, pa:langian, a:palangiq.
(D.) malangiq ‘dry’.",6
langib,(N.) scar.,6
lango,"(N.) housefly.
(D.) malango ‘fly-infested’.",5
lapad,"(N.) width.
(D.) malapad ‘wide, thick’.",5
lapat,"(D.) exact, fit, adjusted.
(V.) ilapat ‘adjust something’.
(N.) pangalapat.",5
lapirut,"(V.) pinch (a small amount of skin).
lepirut.",7
lapis,(N.) pencil.,5
lapit,"(V.) lapitan ‘draw near to something’.
linapit, lumapit, milapitan, a:lapit, a:kalapit.
(D.) malapit ‘near, adjacent’.
kalapit.",5
lapu,"(V.) overflow.
lalapo, linapu, lumapu, maglapu, mangalapu,
pa:lapawan, a:palapo.",4
laraq,(N.) pepper.,5
laram,"(N.) lie, falsehood.
kalaraman.
(V.) maglaram.",5
larawan,"(N.) image, picture.",7
lare,"(D.) malare ‘pink, rosy, (ivory)’.",4
larga,"(V.) proceed, let…loose.
linarga ‘let loose, given slack’.",5
laruq,"(N.) oil (usually from coconuts, used formerly–now,
by old women– as a hair dressing); also applies to
vegetable oils, motor oil.",5
lasa,"(N.) flavor, taste.",4
lasa,"(V.) suffer.
lalasa, linasa, pa:lasan, a:palasan.",4
lasak,"(V.) lasakan ‘destroy something’.
lesakan, maglasak, makapaglasak, mangalasak,
pakilasak, pa:lasak, a:lasak, pa:nlasak, ke:lasak.
(D.) malasak ‘torn down’.",5
laso,"(V.) lasawan ‘digest something’.
(D.) malaso ‘digestable, dissolved’.
maglasu-anak ‘have an abortion (miscarriage?);
pa:lasu, makalasu, pa:nlaswan, pa:nlasu, a:laso,
ke:laso.
(N.) pa:manlaso.",4
lasebu,(D.) malasebu ‘half-ripe (fruits)’.,6
lasenggu,(N.) drunkard.,8
lasetas,"(N.) knife, jack knife.
lase’tang batangge’nyu ‘switchblade’.",7
laso,See lasaw-.,4
lasuq,(N.) ribbon; also some sort of mouth sore.,5
lasun,"(N.) poison.
pa:maglasun.
(V.) lasunan ‘poison someone/thing’; le:sunan,
maglasun, makapaglasun, makilasun, pakilasun,
pa:lasun, a:lasun, ke:lasun, mangalasun, pinlasun.
(D.) malasun, melasun.",5
lata,"(N.) tin can.
tukong lata ‘e.g. square kerosene can’;
barungganan-lata ‘kick-the-can (a children’s
game)’.",4
latiq,"(D.) malatiq ‘small’.
(V.) lalatiq ‘grow small’; ilatiq ‘make something
smaller’; magmalatiq, magpalatiq, pa:latian,
mipalatiq.
(N.) kalatian.",5
latik,"(N.) a sauce of sugar and toasted coconut.
(D.) malatik ‘a phase of the moon when it is small’.",5
latundan,(N.) a kind of banana.,8
lawun,"(D.) old, worn out; dehydrated, dessicated.
laun-ayabyas.",5
lawut,"(D.) malaut ‘far’.
makalaut.",5
lawas,"(N.) sluice, irrigation gate.",5
lawe,"(V.) look at; see lon, lalon, lawen.
maglawe, lalawe, linawe, lumawe, pa:lawe, lawan
‘look at something’, lawen, lawenlawen, lon, lalon,
pakilon.",4
laya,(N.) ginger.,4
layag,(V.) maglayag ‘sail’.,5
laypan,(N.) centipede.,6
layunan,"(N.) a Christmas-eve celebration (in
Candaba)–singing between two groups who
represent the Holy Family and the people of
Bethlehem.",7
legayan,"(N.) one stalk of rice.
122",7
legwas,"(N.) league, a measure of distance.
[usually restricted to story-telling].",6
lele,"(N.) border, edge, side.",4
lelutmanuk,"(N.) rice gruel.
(N.) a chicken-and-rice stew or porridge; see lulut.",10
lenggwae,(N.) language.,8
letratu,"(N.) picture, photograph.",7
libad,(N.) twists-and-turns.,5
libang,"(V.) maglibang ‘enjoy oneself’.
(N.) libangan ‘amusement’.
(D.) makalibang.",6
libatu,"(D.) malibatu ‘a stage in the maturity of mangos
(between manibala’ng and malu’tu)’.",6
libi,"(D.) malibi ‘lustful, lascivious’. [an improper
word].",4
libluban,(N.) portion or a rice field; see lubluban.,8
libru,(N.) book.,5
libu,(N.) one thousand.,4
libut,"(V.) lilibut ‘go around’.
lumibut, maglibut, makalibut, pa:libut, a:libut,
pa:nlibutan.",5
libutad,"(St.) center, centered.
libutad ‘put something in center’; makalibutad.
(N.) kalibutdan.",7
likas,"(V.) remove contents from one place and put in
another, transfer, translate; see lukas.
lilikas, linikas, ilikas, pa:likas.
(N.) talapaglikas ‘interpreter’.",5
liksiq,"(D.) maliksiq ‘agile, fast, skilled’.",6
likut,"(D.) maliku’t ‘overactive, always moving, restless,
fidgety (usually of children–in Filipino English the
child is said to be “moveable”)’.",5
lider,(N.) (Eng. ‘leader’) a political ward boss.,5
ligaq,(V.) boil.,5
ligat,"(D.) maligatligat ‘soft, sticky; smooth texture’.
kaligatan ‘just right’.",5
ligid,"(V.) liligiran ‘surround’.
aligiran, pa:ligiran.
(N.) paligid ‘surroundings’.",5
ligligan,(N.) contest.,8
ligpit,"(V.) magligpit ‘arrange, straighten, fix, put in
order’.",6
ligtas,(D.) magligtas ‘safe’.,6
liguq,(V.) liliguq ‘fishing’.,5
ligwat,"(N.) manaligwat ‘kidnapper (?)’.
(V.) manaligwat ‘rifle, steal from’.",6
lilyu,(D.) dizzy; see -lyu.,5
lima,(Nu.) five.,4
limbag,"(D./St.) swollen.
malimbag ‘published, printed’, melimbag.
(N.) pa:ngalimbag ‘edition, printing’,
kaduanglimbag ‘second edition, printing’.",6
limbun,"(N.) procession.
(V.) maglimbun.",6
alimpuyuq,"(N.) mole, skin mark.",9
lina,"(N.) a female nickname, from Rizalina.",4
linis,"(V.) maglinis ‘clean’.
linisan, mangalinis, pa:linis.
(D.) malinis ‘clean’.",5
lino,(D.) mali’no ‘clear’.,4
lintik,"(N.) light shower, rainfall.
(V.) lilintik, melintikan.",6
lintusan,"(D.) malintusan ‘blistered’.
(V.) memalintusan.",8
linggotci,"(N.) sack, burlap bag.
(V.) ilinggotci, pa:linggotci, makilinggotci,
pakilinggotci.
(D./St.) makalinggotci.",9
linggu,"(N.) week; see duminggu.
pa:ruminggu ‘one week’; peparuminggu.",6
linggweta,"(N.) staple, something used to fasten corrugated
iron roofing.",9
lingo,(D.) malingo’ ‘hysterical’.,5
lipak,"(N.) callus; blister.
(D.) malipak ‘callused’.
(V.) maglipak.",5
lipaktung,"(N.) a kind of insect (cricket, locust?).",9
lipasag,"(V.) maglipasag ‘wiggling’.
(N.) pa:maglipasag.",7
lipat,"(V.) move, transfer, change places. maglipat, ilipat,
linipat, palipatan, makilipat, pakilipat, palipatlipat,
milipat.
(N.) pipaglipatan, pilipatan.",5
alipunga,(N.) athletes’ foot.,8
lisang,"(D./St.) dislocated, disjointed.
magalisang, milisang.
(V.) paglisang.",6
lisangan,"(N.) heat (an internal state?).
(D.) malisangan ‘warm (uncomfortable)’.",8
lisensya,"(N.) license.
(D.) lisensyadu ‘licensed’.
makalisensya.",8
lisik,(D.) malisik; see maliksiq.,5
lislis,"(V.) push up, roll up (sleeves, pants).
lilislis, pa:lislis, a:lislis, maglislis, mangalislis.
(D.) malislis, melislis, makalislis.",6
lisyaq,(V.) move over.,6
lisyun,(N.) lesson.,6
litid,"(N.) tendon, cartilage.
lilitid.
(V.) litiran ‘cut the tendon’.",5
litru,"(N.) a liquid measure used with gasoline and
kerosene; a dry measure used with palay, also the
box used to measure palay.
[six litru = one patiq].",5
litsun,"(N.) roat pig.
(V.) maglitsun.",6
liwaluq,"(N.) a kind of fish, noted for its spines.
(D.) maliwaluq, Maliualu ‘a barrio of Bacolor
famous for a massacre which took place there in
the early 1950s’.",7
liwanag,"(D.) maliwanag ‘bright, shining’.
[sometimes used with kwalta ‘money’ to mean
“jackpot”].",7
liwas,"(V.) take someone’s place; pass going in opposite
directions and fail to meet.
miliwas.",5
liyas,(N.) small lice.,5
lobu,(N.) balloon.,4
lolo,"(V.) maglolo ‘court (a girl)’.
mipapaglolu.",4
lolo,"(V.) lololo ‘hang down long (a dog’s tongue, a
dress)’.
nilolo.",4
loren,(N.) a male name.,5
loti,"(N.) lot, plot of land, subdivision.
lotiloti ‘subdivision’.",4
luaq,"(N.) tear(s).
(V.) luluaq ‘weep’.",4
lub,"(N.) inside, the interior of something; one’s soul,
mind, feelings, sentiment, etc.
work–something to go in to do.
kaluban ‘holster, sheath’.
(V.) lulub, lungub, ilub, pa:luban pakilub.",3
lubak,"(D.) malub, makalub.
(V.) lubakan ‘loosen something’.
(D.) malubak ‘be loose’.",5
lubas,"(D./St.) naked, nude.",5
lubid,"(N.) rope.
lukswanan-lubid ‘skip-rope’.",5
lubluban,(N.) one square of rice fields; see libluban.,8
lubulobu,(N.) the catching pond in a fishpond system.,8
lubuslubusan,"(N.) eating until satisfied, the manner of such
eating.",12
lukaq,"(D.) malukaq ‘humble, poor’.
(V.) pe:malukaq.",5
lukas,"(V.) take off (clothes).
lukas, likas, maglukas, paglukas, pa:lukas, a:lukas,
ilukas.
(N.) lukas-paldas ‘the removing of ceremonial
black (clothes or ribbon) one year after a family
death’.",5
lukluk,"(V.) sit, take a seat.
(N.) luklukan ‘seat, place to sit. pa:maglukluk
‘sitting’.
(D./St.) makalukluk ‘seated’.",6
lukong,"(D.) malukong ‘curved, round-bottomed,
bout-shaped’.",6
luksuq,"(V.) jump.
magluksu.
(N.) lukswanan-lubid ‘skip-rope’, luksung-babiq
‘leap-frog’.",6
lukub,"(V.) lulukub ‘hatch eggs; live with relatives’.
lukuban.",5
lukut,"(V.) roll things up.
maglukut, pakilukut, pa:lukut, a:lukut.
(D.) malukut, melukut, makalukut.",5
luding,"(N.) female nickname, for Ludinia, Lourdes.",6
lugaq,"(N.) earwax.
(D.) malugaq ‘have plenty of earwax’.",5
lugal,"(N.) place, location, space.
(V.) ilugal ‘give place to someone’.
milugal.",5
lugud,"(N.) love.
kalugudlugud ‘dear ones’; ka:luguran ‘beloved,
sweetheart’; kaluguran ‘friend’, (pl.) kakaluguran.
(V.) kaluguran ‘love someone’.
makikaluguran, mikaluguran.
(D.) malugud ‘dear’.",5
lulaq,"(N.) clouds, overcast; see lulam.
(D.) malulaq ‘cloudy, overcast’.
(V.) maglulaq ‘be about to rain’.",5
lulam,"(D.) malulam ‘cloudy, about to rain’.",5
lulu,"(N.) pity, mercy.
kalulu ‘poor man’; pakalulu ‘have mercy, pity
someone’.",4
luluq,(N.) race (contest).,5
lulud,"(D.) melulud ‘barked (shins)’.
129",5
lulun,"(V.) roll up (mats); see lukut.
lululun.",5
lulut,"(D.) malulut ‘ripe, mature (fruits)’.
malululut.",5
lumbe,"(V.) watch, observe; see -albe.
lumbe, limbe.",5
lumbug,"(N.) flood, be submerged; see albug.",6
lumo,"(St./D./V.) ‘be accustomed, be done as custom’.",4
lumput,"(V.) squeeze into an opening in a line; win a
narrow election.
lumput, limput.",6
lumud,"(St./V./D.) drown.
malumud, melumud, pinlumud.",5
lumot,"(N.) algae, moss, seaweed.",5
lunas,"(N.) that part of a plow which pushes the turned
up dirt away from the blade.",5
lunis,"(N.) Monday.
(D.) malulunis, melunis, mangalunis ‘have bad
luck on Monday and spoil the whole week’.",5
lunus,"(D./St./V.) malulunus ‘pity someone’.
melunus.",5
lungkut,"(N.) sadness.
(D.) malungku’t ‘sad, lonely’.",7
lungub,(V.) enter; see lub.,6
lupa,"(N.) face.
kalupa ‘look like (one with same face as another)’;
milupa ‘similar, same’.",4
lupisak,"(N.) house lizard.
130",7
lupit,(D.) malupit ‘cruel’.,5
luslus,"(D.) maluslus ‘digested’; see laso.
meluslus.",6
lutas,"(V./St./D.) finish.
linutas.",5
lutuq,"(V.) cook.
maglutuq, pa:lutuq.
(D.) malutuq ‘cooked’.",5
lutuq,"(D.) malutuq ‘red’.
malutu:lutuq ‘reddish’.
(V.) mangalutuq ‘blushing’, pangalutuq.",5
lutung,"(D.) malutung ‘crisp, brittle’.",6
luwalas,"(D.) maluwalas ‘spacious, extensive’.",7
luwid,"(V.) magluwid ‘succeed, win progress’.",5
luyus,(N.) areca palm.,5
lyu,"(D.) mali’lyu ‘dizzy, giddy’.
makalyu’.",3
makadwaq,"(D.) second, two days from…; see adwaq.",8
makananu,"(Q.) how, in what manner.
Makananu reng gamitan? ‘How are those
used?’.",8
makina,(N.) machine; engine; rice mill.,6
makinilya,"(N.) typewriter; hand-powered barbers’
clippers.",9
mako,"(V.) leave, depart.
ma’ko, mamako.",4
makupa,"(N.) macopa, a kind of fruit, grows on trees, is
red and bell-shaped, roughly apricot sized,
similar to what is called mountain apple in
Hawaii.
There are two types: makupang kapampangan,
makupang malutu.",6
madrekaku,"(N.) a tree-like plant, with many trunks, used
for firewood and leaves fed to goats.",9
majong,(N.) mahjong (the game).,6
magkanu,(Q.) how much (cost).,7
mais,"(N.) corn.
mais lakatan ‘white corn’; mais malutu ‘yellow
corn’; maisan ‘cornfield’; busang mais
‘popcorn’; ligang mais ‘boiled corn’; swam mais
‘a dish of mixed vegetables including corn’.
132",4
maitines,(N.) the midnight mass at Christmas.,8
mal,"(D.) expensive, dear, valuable.",3
imalan,"(N.) clothes, dress.",6
malaus,"(V.) come in, proceed, continue.",6
maldaq,"(N.) the common man, everyone, populace.
ding maldaq ‘all the people’; babasan maldaq
‘popular reader’.",6
male,"(N.) consciousness; occurs in the phrase:
milako a male-tau ‘fainted’.",4
maleldu,"(N.) Holy Week, Good Friday.",7
malgarit,(N.) whore.,8
maliq,"(N.) error, mistake.
(V.) magkamaliq ‘err, make a mistake’.",5
malignos,(N.) evil spirits.,8
malintusan,(D.) blistered.,10
maliwaluq,"(N.) Maliualu–a barrio of Bacolor, famous for a
massacre in the early 1950s.",9
malyari,"(V.) (special) can be, possible.",7
mamaq,"(N.) mister, a term of address used to men
(polite)–not used with names as English Mr.",5
mamaq,"(V.) chew betel nut.
ma:mama’q.",5
mamalaq,"(N.) low tide.
133",7
mampit,"(V.) come in; you are welcome.
[a rare, “deep” word].",6
man,(Adjunct) used to indicate response.,3
mana,"(V.) inherit.
(N.) inheritance.
a:mana.",4
manako,(V.) steal [root?].,6
manalangaq,"(V.) searching for; in the metaphorical sentence
Manalanga: yang pugad ‘He is looking for a
nest’ i.e. ‘is courting a girl’.",10
manalas,(D./V.) dripping [root?].,7
manataq,(N.) people with vows; see panataq.,7
manatili,"(V.) stop, stay, be with; occurs in the religious
phrase: Ing Ginu manatili ya kekayu. ‘God be
with you’.",8
manaya,"(V.) waiting for someone, something; see
panayan.",6
mandarin,"(N.) a citrus fruit, Mandarin orange.",8
maneu,"(V.) magmaneu ‘drive (a vehicle) – usually
meaning to drive for pay’.",5
maniq,"(N.) peanut; [metaphor] clitoris.
134",5
manibaug,(N.) name of a barrio.,8
manik,"(V.) go upstairs [root?]. cf. qik ma:manikan,
me:nik.
(N.) pa:manikan ‘a stage in courtship when the
boy is invited to visit the girl in her house’.",5
manigotu,(V.) weeding [root?].,8
maninap,(V./D./St.) dreaming [root?].,7
maninilyu,"(N.) a whisk, beater–used with bateru’l.",9
manintun,"(V.) look for.
panintunan.",8
manisig,"(V./D.?) eat something which tastes sour, as a
citrus or santol. menisig.",7
manong,"(D.) awkward, off-color, improper.",6
mansad,(N.?/D./V.) body smell.,6
mansanitas,"(N.) a small fruit-like object which grows on
trees [debatable whether or not it is eaten]
used to refer to olives (perhaps mistakenly).",10
mantilyu,(N.) hammer.,8
manuk,(N.) chicken.,5
manunyat,"(V.) maninyat ‘stretch, yawn’.",8
manutu,(V.) molt.,6
manuyang,"(V.) ask for [root?]; inyad. cf. anyad, anyawad.
(N.) son-in-law, daughter-in-law.",8
manga,"(Q.) used with dates, times, other numbers, to
mean approximately.
135",5
mengabus,"(V.) save, redeem, pardon [used in religious
texts].",8
mangalput,(V./D.?) see lalput.,9
mangga,"(N.) mango.
mangaqan ‘mango orchard’.",6
mangisnawa,(V.?/D.) breathing.,10
mangumpe,"(V.) cutting grass, fodder [root?].",8
map,(D./Q.) good; see mayap.,3
maplas,"(D.) sting (e.g. a wound, when medicine is
applied). mangaplas; [ma-+ ?root?].",6
marangle,(N.) field (cultivated field).,8
marka,"(N.) trademark, sign.
markang-damonyo [lit. mark of the devil] = gin,
esp. San Miguel brand gin, which has a picture
of Michael slaying Lucifer on the bottle.",5
margaha,"(N.) volcanic ash, lava [rare].",7
margate,"(N.) a special type of rice or manner of spaced
planting recently introduced by agricultural
agents.",7
maring,(N.) a female nickname.,6
mariposa,(N.) butterfly.,8
mariya,"(N.) a female name–Maria.
atlung mariya ‘name of a constellation’.",6
marso,"(N.) March (the month).
136",5
martir,(N.) martyr.,6
martis,(N.) Tuesday.,6
mas,"(Q.) [used in comparative constructions] Mas
matas ka kaku ‘You are taller than I’; Mas
masanting ya ita kesa kanita ‘That is nicer than
that other one’.",3
masa,(V.) mix dough.,4
masa,(N.) law.,4
masaganaq,"(N.) a system of planting rice by carefully
measuring the distance between plantings.",9
maskara,"(N.) chewing tobacco; also included in the betel
chew and in cigarettes of the roll-your-own
variety.",7
maski,"(Q./Subcomb.) even though.
[used as a complete utterance: Never mind,
ignore it, so what].",5
masdan,"(V.) look after, watch for, look for [root?]
pagmasdan, pigmasdan.",6
masetas,(N.) flowerpot.,7
masyadu,"(Q.) very, too much.
Generally used as Q. to a D. E masyadung
mabayat ‘Not very heavy’.",7
masyung,"(N.) male nickname, from Eustaquio.",7
mata,"(N.) eye; shoot, sprout, as: mata kwayan; the
spots on the top half of a coconut shell (bikan
lalaki) are mata.
telataung mata ‘iris (of the eye)’.",4
matas,"(V.) [root?] hire others to harvest. mamatas,
makipamatas.",5
matcin,"(N.) monkey; more commonly, so’nggo.",6
maya,"(N.) a small bird, the rice bird. putu-maya ‘a
rice-cake delicacy made of sugar, coconut, and
glutinous rice’.",4
mayu,"(N.) May, the month.",4
mayul,"(N.) church.
(D.) [Sp. major?] misa mayul ‘high mass’.",5
mayumu,"(D.) sweet.
(N.) sugar, candy, sweets. pagmayumu
‘preservative for fruits’.",6
me,"(Substitute: personal pronoun, part-manteau)
you-it [mu + ya].",2
medikul,"(N.) cough medicine (from the brand name
Medicol).",7
medida,(N.) tape measure; see metrus.,6
men,(Exc./idiom) Amen.,3
menus,"(D.) crazy, lacking mentally. minus ‘e.g. with
numbers’; menus singko ‘subtract five’;
menus-gastus ‘thrifty, cutting down on
expenses’. makamenus.",5
merli,"(N.) a female nickname, from Emerita.",5
mestru,(N.) teacher.,6
metrus,"(N.) 1. meter (a measure of length, distance).
2. a carpenter’s rule; see medida.",6
metung,"(N./Nu.) one, first.",6
milagrosa,"(N.) 1. miracle, wondrous happening.
2. miracle rice.",9
milun,(N.) melon.,5
milyari,"(V.) [special] happened, as in: Nanung milyari?
‘What happened?’.",7
mimin,(D.) consumed (e.g. by fire).,5
mina,"(N.) mine; mined substance, mineral. Kalburu,
klasing mina yan, e. ‘Carbide, that is a type of
mined substance/mineral’.",4
minangun,"(N.) river flood control, dike, bank.
(V.) magminangun, minangunan, pami-nangun,
makiminangun.",8
mirindal,(N.) snack.,8
mis,"(N.) miss, a term of address to an unmarried
female.",3
misa,"(N.) mass, a Catholic ceremony.
(V.) pa:misa ‘have a mass said’.",4
misan,"(Q./N.?) once in a while (a time measure).
pamisanmisan.",5
misdan,(D./V./St.) be surprised [root?].,6
misis,"(N.) 1. a term of address for married women,
Mrs.
Kumusta, misis? ‘How are you, ma’m?’.
2. as a term of reference, usually it means ‘wife’
as ing misis mu ‘your wife, your missus’.
139",5
mismo,"(N./Q.?) the same, the thing itself.",5
mitdaq,(D./St.?) [root?] extinguished.,6
mitdas,"(V./St./D.) burst (a blister or boil); blinking (as,
lights which go on and off).",6
mitmuq,(St./V./D.) filled [root?]; see katmuq.,6
mica,(N.) wick.,4
miyerkulis,(N.) Wednesday.,10
modelu,(N.) model.,6
modista,"(N.) dressmaker.
pangamodista ‘dressmaking’.",7
modu,(N.) manners.,4
monte,(N.) a gambling game played with cards.,5
muq,"(Adjunct) only, just, merely.",3
mugmug,(N.) crumbs.,6
magnus,"(V.) open a dam, splurge with savings.",6
mula,"(N.) yard, the area surrounding a house.
mulahan ‘yard area’.",4
mulal,"(V.) [root?] pagmulala’n ‘to stay without consent
in someone’s house’.",5
mulalaq,"(V./D./St.) be surprised.
mipamulalaq, mangapamlalaq,
makapag-mulalaq; magmulalaq ‘stand gaping,
act or look like an “innocente” (booby)’.",7
mulang,"(D.) crazy, foolish, rabid.
(V.) magmulang ‘(of an engine, not working
properly)’.
(N.) kamulangan ‘foolishness’.",6
muliq,"(V.) go home; see uliq.
[Bacolor informants say that in the Sta. Rita
dialect this means to go marketing].
muliq, minuliq, memanuli, pa:ulyan.",5
multa,"(N.) fine, penalty.",5
mumutut,"(V.) [root? putut, butut?] ‘nibble at food, eat
timidly or uneagerly’.",7
